title,genre,actors,view rating,release date,summary,score,votes,
Madeline,"Comedy, Family","Ben Daniels, Hatty Jones, Nigel Hawthorne, Frances McDormand",PG,10 Jul 1998,"To save her boarding school from the real estate market, a mischievous French girl uses her wits to discourage prospective buyers.",6,6835,
Mitt,"Documentary, Biography, Family, News","Jim Lehrer, Mitt Romney, Eric Draper, Candy Crowley",,24 Jan 2014,The real Mitt Romney is revealed in this documentary that goes beyond the sound bites with unprecedented access to his 2012 presidential campaign.,6.9,2487,
Monster Math Squad,Animation,"Cory Doran, Julie Sype, Jenna Warren, Annick Obonsawin",TV-Y,12 Nov 2012,"Max, Lily and Goo love to put their minds together and use their math skills to overcome any obstacle, even ones with two left feet or ten thumbs.",5.4,27,
Malena,"Comedy, Drama, Romance, War","Giuseppe Sulfaro, Matilde Piana, Monica Bellucci, Luciano Federico",R,02 Feb 2001,"Twelve-year-old Renato is enamored with Malèna. But when jealous townsfolk begin spreading rumors about her, Renato must separate fact from fiction.",7.5,90914,
Teenage Mutant Ninja Turtles,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi","James Arnold Taylor, Nolan North, Mitchell Whitfield, Mikey Kelley",E10+,20 Mar 2007,"In this animated adventure, Master Splinter whips the four Ninja Turtles back into shape to defeat monsters running amok in New York.",6.5,217,
Spider-Man,"Action, Adventure, Sci-Fi","Willem Dafoe, Tobey Maguire, Kirsten Dunst, James Franco",PG-13,03 May 2002,"After being chomped by a genetically altered spider, shy teen Peter Parker is endowed with amazing superpowers hell need to battle the Green Goblin.",7.3,689242,
Mighty Morphin Power Rangers,"Action, Adventure, Family, Fantasy, Sci-Fi","David J. Fielding, Ed Neil, David Yost, Richard Steven Horvitz",TV-Y7,28 Aug 1993,"Five average teens are chosen by an intergalactic wizard to become the Power Rangers, who must use their new powers to fight the evil Rita Repulsa.",6.5,20188,
The Spectacular Spider-Man,"Animation, Action, Adventure, Comedy, Sci-Fi","Joshua LeBar, Grey Griffin, Lacey Chabert, Josh Keaton",TV-Y7,01 Mar 2008,"This 21st-century edition of animated adventures charts the exploits of Peter Parker, who becomes Spider-Man as a result of a radioactive spider bite.",8.2,10566,
Remember Me,"Drama, Romance","Noel Rodriguez, Kevin P. McCarthy, Caitlyn Rund, Moisés Acevedo",PG-13,12 Mar 2010,"Tylers still feeling lost following the tragedy thats strained his relationship with his father when he meets Ally, a girl who understands his pain.",7.1,138665,
Scary Movie,Comedy,"Frank B. Moore, Dave Sheridan, Carmen Electra, Giacomo Baessato",R,07 Jul 2000,"The Wayans brothers spoof some of Hollywoods biggest blockbusters, including Scream, I Know What You Did Last Summer, The Matrix and American Pie.",6.2,232762,
Matilda,"Comedy, Family, Fantasy","Embeth Davidtz, Rhea Perlman, Mara Wilson, Danny DeVito",PG,02 Aug 1996,"Cursed with a cruel school principal and parents, a little girl discovers her hidden powers -- which she uses to stand up to the bullies in her life.",6.9,130379,
Mister Maker,Family,Phil Gallagher,,,"Mister Maker brings the world of arts and crafts to life for little ones with a mix of live action, graphics and animation techniques.",6.9,112,
Magic Mike,"Comedy, Drama","Alex Pettyfer, Channing Tatum, Olivia Munn, Matthew McConaughey",R,29 Jun 2012,Veteran male stripper Magic Mike introduces a new dancer known as the Kid to the pleasures -- and perils -- of their profession.,6.1,131698,
Merlin,"Adventure, Drama, Fantasy","Colin Morgan, John Hurt, Bradley James, Richard Wilson",TV-PG,21 Jun 2009,"This family-oriented retelling of the King Arthur legend finds Merlin arriving in Camelot, where he hones his magic skills with the help of his uncle.",7.9,73698,
Print the Legend,"Documentary, Biography, Drama, History","Bill Buel, Chris Anderson, Craig Broady, Bruce Bradshaw",,26 Sep 2014,"This award-winning, original documentary chronicles the race for market leadership in 3D printing, the next wave of technological evolution.",7,1874,
Magi: The Labyrinth of Magic,"Animation, Action, Adventure, Comedy, Fantasy","Kaori Ishihara, Haruka Tomatsu, Yûki Kaji, Erik Scott Kimerer",TV-14,07 Oct 2012,A land of mysterious ruins and a magical treasure hunt await young Aladdin and his courageous friend Alibaba for the adventure of their lives.,7.8,3085,
Legend of Sarila,"Animation, Adventure, Family, Fantasy","Christopher Plummer, Rachelle Lefevre, Dustin Milligan, Tim Rozon",TV-G,16 May 2013,"In this lyrical animated film, when a shaman curses an Inuit village with starvation, three brave young souls undertake a quest to save their people.",5,855,
The Losers,"Action, Adventure, Crime, Mystery, Thriller","Zoe Saldana, Jeffrey Dean Morgan, Chris Evans, Idris Elba",PG-13,23 Apr 2010,"After learning that their handle has set them up, a group of disavowed CIA operatives led by Clay bands together to bring down their betrayers.",6.3,91769,
Lord of War,"Action, Crime, Drama","Nicolas Cage, Jared Leto, Bridget Moynahan, Shake Tukhmanyan",R,16 Sep 2005,"When a Ukrainian immigrant goes from two-bit thug to the worlds leading arms dealer, he soon finds that his profiteering comes at a cost.",7.6,294807,
Little Princess,"Animation, Family","Maggie Ollerenshaw, Julian Clary, Colin McFarlane, Jane Horrocks",TV-Y7,21 Dec 2008,"Based on the best-selling childrens books by author-illustrator Tony Ross, this animated series follows the curious and charming Little Princess.",5.6,264,
Luther,"Crime, Drama, Mystery, Thriller","Idris Elba, Michael Smiley, Dermot Crowley, Warren Brown",TV-MA,17 Oct 2010,A dedicated urban detective tries to keep a grip on his personal life while dealing with the psychological factors underlying the crimes he solves.,8.5,121291,
Labios Rojos,"Comedy, Family","Verónica Contreras, Sophie Alexander-Katz, Paloma Arredondo, Anna Ciocchetti",R,07 Oct 2011,"When the otherwise happy and successful Ricardo develops a case of erectile dysfunction, it creates a crisis in his marriage to Blanca.",5.2,359,
Legion,"Action, Fantasy, Horror","Paul Bettany, Tyrese Gibson, Adrianne Palicki, Lucas Black",R,22 Jan 2010,A motley crew of apocalypse survivors living at an abandoned truck stop never suspects that the pregnant woman among them is carrying the Messiah.,5.3,99757,
Van Wilder: Party Liaison,"Comedy, Romance","Kal Penn, Tara Reid, Tim Matheson, Ryan Reynolds",R,05 Apr 2002,A party animal in his seventh year in college must figure out how to pay for his education when he learns his father wont pay for another semester.,6.4,103589,
The Little Lulu Show,"Animation, Comedy, Family","Tracey Ullman, Ajay Fry, Jane Woods, Dawn Ford",TV-Y,30 Jun 1995,"Whether shes catching frogs for a restaurant, searching for hidden treasure or tracking down a thief, Little Lulu always has an ace up her sleeve.",7,651,
Leon: The Professional,"Action, Crime, Drama, Thriller","Gary Oldman, Jean Reno, Natalie Portman, Danny Aiello",R,18 Nov 1994,"Léon, a hit man in New York, becomes the unwilling custodian of Mathilda, a vengeful 12-year-old whose family was wiped out by a crooked DEA agent.",8.5,1037958,
Littlest Pet Shop,"Animation, Adventure, Comedy, Family, Fantasy, Musical","Sam Vincent, Kyle Rideout, Ashleigh Ball, Peter New",TV-Y,10 Nov 2012,"Blythe discovers that she can talk to the animals at the Littlest Pet Shop, a day camp for all types of pets, kicking off a series of fun adventures.",6.1,701,
Little Man,"Comedy, Crime","John Witherspoon, Shawn Wayans, Kerry Washington, Marlon Wayans",PG-13,14 Jul 2006,"A man is so eager to become a dad that hell believe anything, including the notion that a baby-faced thief on the lam is really an abandoned toddler.",4.4,50550,
Labour Pains,"Comedy, Romance","Aaron Yoo, Chris Parnell, Lindsay Lohan, Luke Kirby",PG-13,19 Jun 2009,"When her boss threatens to fire her, an office worker comes up with an excuse for staying employed: Shes pregnant. Trouble is, she isnt expecting.",4.8,10870,
Looper,"Action, Drama, Sci-Fi, Thriller","Emily Blunt, Bruce Willis, Joseph Gordon-Levitt, Paul Dano",R,28 Sep 2012,"In the year 2042, Joe is a Looper, a hired assassin for the mob who kills people sent from the future. But what will he do when the mob decides to close the loop, sending back Joes future self for assassination?",7.4,535314,
Zombieland,"Adventure, Comedy, Fantasy, Horror, Sci-Fi","Woody Harrelson, Emma Stone, Abigail Breslin, Jesse Eisenberg",R,02 Oct 2009,"Looking to survive in a world taken over by zombies, a dorky college student teams with an urban roughneck and a pair of grifter sisters.",7.6,521460,
Lone Survivor,"Action, Biography, Drama, War","Taylor Kitsch, Ben Foster, Mark Wahlberg, Emile Hirsch",R,10 Jan 2014,Mark Wahlberg stars as Navy SEAL Marcus Luttrel in this action-drama based on an ill-fated real-life mission to bring down a Taliban boss.,7.5,266897,
Pretty Little Liars,"Drama, Mystery, Romance, Thriller","Lucy Hale, Shay Mitchell, Ashley Benson, Troian Bellisario",TV-14,08 Jun 2010,"Rudderless without their missing leader, four formerly tight high school friends band together when a blackmailer threatens to spill their dirt.",7.4,152331,
Orphan,"Horror, Mystery, Thriller","Isabelle Fuhrman, Vera Farmiga, CCH Pounder, Peter Sarsgaard",R,24 Jul 2009,"Kate and John Coleman adopt 9-year-old Esther from an orphanage, but it doesnt take long for Kate to see through Esthers angelic façade.",7,191913,
Life on Mars (U.K.),"Crime, Drama, Mystery, Sci-Fi","Dean Andrews, Philip Glenister, Liz White, John Simm",TV-14,24 Jul 2006,"DCI Sam Tyler is thrust from 2006 to 1973 after an accident. As he continues to work cases, Sam struggles with the notion of traveling through time.",8.3,28935,
My Little Monster,"Animation, Comedy, Romance","Tatsuhisa Suzuki, Atsumi Tanezaki, Haruka Tomatsu, Ryôta Ôsaka",,01 Oct 2012,"Shizuku, a hardworking student who isnt interested in socializing, finds an unlikely friend in Haru, an emotionally volatile boy at her school.",7.3,2922,
Sid the Science Kid,"Animation, Comedy, Family","Drew Massey, Alice Dinnean, Victor Yerrid, Mia Ella Mimica",TV-Y,01 Sep 2008,"Armed with a healthy sense of humor and the help of his teacher, friends and family, curious kid Sid tackles questions youngsters have about science.",5.4,560,
Kickboxer,"Action, Sport, Thriller","Michel Qissi, Dennis Alexio, Dennis Chan, Jean-Claude Van Damme",R,08 Sep 1989,"When kickboxing champ Eric Sloane is crippled in the ring by the evil Tong Po, Erics younger brother, Kurt, seeks vengeance.",6.5,50370,
Killing Me Softly,"Drama, Mystery, Romance, Thriller","Joseph Fiennes, Ulrich Thomsen, Heather Graham, Natascha McElhone",R,21 Jun 2002,"From the very moment Alice locks eyes with Adam, a mysterious stranger, shes catapulted into a whirlwind of intense erotic desire and adventure.",5.5,17179,
Wild Kratts,"Animation, Adventure, Comedy, Family","Jonathan Malen, Chris Kratt, Athena Karkanis, Martin Kratt",TV-Y,03 Jan 2011,"Zoologists Martin and Chris Kratt morph from live forms into their animated selves, complete with Creature Power Suits, in this animal show for kids.",7.7,1120,
Knowing,"Action, Drama, Sci-Fi, Thriller","Lara Robinson, Nicolas Cage, Chandler Canterbury, Rose Byrne",PG-13,20 Mar 2009,An MIT astrophysics professor and his son unearth a string of numbers from a time capsule that seem to reveal a cataclysm that will wipe out humanity.,6.2,221205,
My Sisters Keeper,"Drama, Family","Sofia Vassilieva, Abigail Breslin, Walter Raney, Cameron Diaz",PG-13,26 Jun 2009,A former defense attorney finds herself back in court when she and her husband are sued for medical emancipation by their 11-year-old daughter.,7.4,89704,
Machete Kills,"Action, Crime, Thriller","Amber Heard, Danny Trejo, Demián Bichir, Mel Gibson",R,11 Oct 2013,Ex-Federal Machete returns to battle when the U.S. government recruits him to take down a psychotic revolutionary and a billionaire arms dealer.,5.6,74935,
Killers,"Action, Comedy, Romance, Thriller","Catherine O'Hara, Katherine Heigl, Ashton Kutcher, Tom Selleck",PG-13,04 Jun 2010,"After giving up the gun and settling down, an elite assassin learns that someone from his past has put a contract out on his now tranquil life.",5.5,87580,
Kill la Kill,"Animation, Action, Comedy, Drama, Sci-Fi","Shin'ichirô Miki, Ami Koshimizu, Aya Suzaki, Toshihiko Seki",TV-14,08 Feb 2015,The woman with the scissor blade -- Ryuko Matoi -- searches for clues all around the world for the truth behind her fathers death.,7.9,11072,
Spy Kids,"Action, Adventure, Comedy, Family, Sci-Fi","Carla Gugino, Daryl Sabara, Antonio Banderas, Alexa PenaVega",PG,30 Mar 2001,The tables are turned when pint-sized kids Carmen and Juni must rescue their secret-agent parents from the diabolical clutches of Alexander Minion.,5.5,109000,
The Legend of Korra,"Animation, Action, Adventure, Comedy, Drama, Family, Fantasy, Sci-Fi","Dee Bradley Baker, Jeff Bennett, P.J. Byrne, Janet Varney",TV-Y7-FV,14 Apr 2012,A female avatar who can control the elements fights to keep her city safe from the evil forces of both the physical and spiritual worlds.,8.4,103593,
The Karate Kid,"Action, Drama, Family, Sport","Wenwen Han, Jaden Smith, Taraji P. Henson, Jackie Chan",PG,11 Jun 2010,"After moving to Beijing with his mother, Dre falls prey to a bully, so he takes lessons from a martial arts master in this remake of the 1984 classic.",6.2,162989,
Unbreakable Kimmy Schmidt,Comedy,"Jane Krakowski, Ellie Kemper, Tituss Burgess, Carol Kane",TV-14,06 Mar 2015,"When a woman is rescued from a doomsday cult and lands in New York City, she must navigate a world she didn’t think even existed anymore.",7.6,63567,
John Q,"Crime, Drama, Thriller","Gabriela Oltean, Kimberly Elise, Denzel Washington, Ron Annabelle",PG-13,15 Feb 2002,"A blue collar workers insurance wont cover his sons heart transplant, so he holds a hospital ER hostage until doctors agree to perform the surgery.",7.1,124414,
Julius Jr.,Animation,"Steph Lynn Robinson, Loretta Jafelice, Elizabeth Daily, Julie Lemieux",,29 Sep 2013,Paul Franks fun artwork comes to life in this show that follows monkey Julius Jr. and his friends as they explore the world and help each other out.,5.5,68,
Justin Time,"Animation, Adventure, Family","Gage Munroe, Scott McCord, Jenna Warren, Drew Davis",TV-Y,01 Jun 2011,"In Justins dreams, he and his imaginary friends Olive and Squidgy travel around the world learning about nature and other cultures.",6.6,178,
Space Jam,"Animation, Adventure, Comedy, Family, Sci-Fi, Sport","Michael Jordan, Manner Washington, Wayne Knight, Theresa Randle",PG,15 Nov 1996,Basketball legend Michael Jordan hoops it up with Bugs Bunny and other Looney Tunes characters in this romp that blends live action with animation.,6.5,163589,
Letters to Juliet,"Adventure, Comedy, Drama, Romance","Marcia DeBonis, Gael García Bernal, Amanda Seyfried, Giordano Formenti",PG,14 May 2010,"By responding to a letter addressed to Shakespeares tragic heroine Juliet Capulet, an American woman in Verona, Italy, is led in search of romance.",6.5,92527,
The Nut Job,"Animation, Adventure, Comedy, Crime, Family","Liam Neeson, Katherine Heigl, Brendan Fraser, Will Arnett",PG,17 Jan 2014,"When his grouchy attitude gets him kicked out of the park, Surly the squirrel hatches a plan to rob Maurys Nut Shop to stock up for winter.",5.7,26666,
The Rundown (Welcome to the Jungle),"Action, Adventure, Comedy, Thriller","Dwayne Johnson, Seann William Scott, Rosario Dawson, Christopher Walken",PG-13,26 Sep 2003,"Looking to retire and open a restaurant, a bounty hunter gets roped into one final assignment: fetching his bosss errant son from the Amazon jungle.",6.7,101364,
Jericho,"Action, Drama, Mystery, Sci-Fi","Kenneth Mitchell, Skeet Ulrich, Ashley Scott, Lennie James",TV-14,20 Sep 2006,"Jake returns to his Kansas town to collect an inheritance, but a nuclear blast cuts off the outside world and makes him a reluctant leader amid chaos.",7.9,53966,
Justice,Drama,"Gillian Kearney, Gary Mavers, Tom Georgeson, Robert Pugh",TV-14,04 Apr 2011,"After his wife is brutally raped, Will is approached by a man from a vigilante group who offers to exact revenge on the perpetrator, for a price.",7.7,38,
Juno,"Comedy, Drama","Jason Bateman, Jennifer Garner, Michael Cera, Elliot Page",PG-13,25 Dec 2007,"Facing an unplanned pregnancy while in high school, quirky teen Juno devises a plan to locate her unborn babys perfect adoptive parents.",7.4,491864,
Trailer Park Boys: Dont Legalize It,"Comedy, Crime, Drama","Robb Wells, John Dunsworth, Mike Smith, John Paul Tremblay",Not Rated,05 Sep 2014,"After his latest money-making plan fails, Julian concocts his greasiest scheme ever -- which involves doing business with his archenemy, Cyrus.",7.3,4444,
Tom Papa Live in New York City,Comedy,"Annette Benda Fox, Max Macguire, Skippy D, Rick Crom",Not Rated,01 Jul 2011,Comedian Tom Papas family-oriented standup special follows in the footsteps of Bill Cosby and Ray Romano as he riffs on the trials of married life.,7.2,418,
The Informant!,"Biography, Comedy, Crime, Drama","Lucas McHugh Carroll, Matt Damon, Rusty Schwimmer, Eddie Jemison",R,18 Sep 2009,"While gathering evidence against his employer to help the FBI build a price-fixing case, Mark Whitacre begins to piece together a fantasy world.",6.4,63030,
In Bruges,"Comedy, Crime, Drama, Thriller","Olivier Bonjour, Elizabeth Berrington, Rudy Blomme, Mark Donovan",R,29 Feb 2008,"After a job goes wrong in London, two hit men are ordered to lay low at a bed-and-breakfast in Bruges, Belgium, until their boss contacts them.",7.9,390877,
Identity,"Mystery, Thriller","Amanda Peet, John Hawkes, John Cusack, Ray Liotta",R,25 Apr 2003,Complete strangers stranded at a remote desert motel during a raging storm soon find themselves the target of a deranged murderer.,7.3,227873,
Michael Jacksons This Is It,"Documentary, Drama, Music","Alex Al, Nick Bass, Michael Jackson, Alexandra Apjarova",PG,28 Oct 2009,This compelling documentary follows pop icon Michael Jackson during the days leading up to his untimely death as he prepares for a series of 50 shows.,7.2,38524,
Playful Kiss,"Comedy, Romance","Hye-Young Jung, Jung So-Min, Kim Hyun-joong, Tae-Sung Lee",,01 Sep 2010,"Based on a Japanese manga, this Korean dramedy series centers on a slow-bubbling romance between a sunny student and her popular classmate.",7.1,2839,
Terror in Resonance,"Animation, Drama, Mystery, Thriller","Atsumi Tanezaki, Kaito Ishikawa, Shunsuke Sakuya, Sôma Saitô",TV-14,11 Jul 2014,"When a terrorist attack ravages Tokyo, a mysterious clue to the perpetrators identity confounds the police, and paranoia spreads like wildfire.",7.9,8159,
"Its Okay, Thats Love","Comedy, Drama, Romance","Kwang-Soo Lee, Jin Kyung, Dong-il Sung, Kyung-soo Do",TV-14,23 Jul 2014,"Successful novelist and radio DJ Jae-yeol and psychiatrist Hae-soo are constantly at odds, but that changes when they start living in the same house.",8.3,3159,
What If,"Comedy, Romance","Daniel Radcliffe, Zoe Kazan, Adam Driver, Megan Park",PG-13,15 Aug 2014,"When a medical school dropout meets an animator living with her boyfriend, tensions grow when they suspect they could be more than just friends.",6.8,71158,
The Impossible,"Drama, History, Thriller","Samuel Joslin, Naomi Watts, Ewan McGregor, Tom Holland",PG-13,04 Jan 2013,"Tracking one familys harrowing experiences, this gripping drama depicts the chaos generated by the massive 2004 tsunami in Southeast Asia.",7.6,201364,
Insidious,"Horror, Mystery, Thriller","Rose Byrne, Patrick Wilson, Ty Simpkins, Lin Shaye",PG-13,01 Apr 2011,"Hoping to leave their haunted house behind, a suburban family moves to a new place, only to learn the home wasnt haunted... but their eldest son is.",6.8,279316,
iCarly,"Comedy, Family, Romance","Jennette McCurdy, Nathan Kress, Miranda Cosgrove, Jerry Trainor",TV-G,08 Sep 2007,A cyberstar is born when 13-year-old Carly creates an Internet series with a little help from her feisty best friend Sam and neighbor Freddie.,6.6,33018,
Ip Man,"Action, Biography, Drama, History","Hiroyuki Ikeuchi, Simon Yam, Lynn Xiong, Donnie Yen",R,12 Dec 2008,"An occupying Japanese general challenges Chinese men to duels to prove the superiority of the Japanese, but Ip Man refuses to fight -- at first.",8,211913,
"What Happened, Miss Simone?","Documentary, Biography, Music","Al Schackman, Nina Simone, Roger Nupie, Lisa Simone Kelly",Not Rated,24 Jun 2015,"Using never-before-heard recordings, rare archival footage and her best-known songs, this is the story of legendary singer and activist Nina Simone.",7.6,12506,
Road House,"Action, Thriller","Patrick Swayze, Sam Elliott, Kelly Lynch, Ben Gazzara",R,19 May 1989,"A brawny bouncer and expert martial artist is hired to police a rowdy bar in the Midwest. He falls for a local girl, which angers her ex-boyfriend.",6.6,63690,
The House of the Spirits,"Drama, Romance","António Assunção, Maria Conchita Alonso, Frank Baker, Julie Balloo",R,01 Apr 1994,"Esteban vows to marry Rosa, a rich mans daughter. But when Rosa dies before he can save enough money to do so, he instead marries her younger sister.",6.9,21070,
The Hurt Locker,"Drama, Thriller, War","Jeremy Renner, Anthony Mackie, Brian Geraghty, Guy Pearce",R,31 Jul 2009,Kathryn Bigelow directs this gripping drama following one of the U.S. Armys elite explosive ordnance disposal teams operating in Iraq.,7.5,422778,
Hotel Rwanda,"Biography, Drama, History, War","Xolani Mali, Hakeem Kae-Kazim, Don Cheadle, Desmond Dube",PG-13,04 Feb 2005,"Amid the holocaust of tribal fighting in Rwanda, one ordinary hotel manager musters the courage to save more than 1,000 refugees.",8.1,335561,
Heartbeats,"Documentary, Short, Biography",,,,Lush cinematography highlights this coming-of-age tale about two best pals who find their friendship tested to its limits by a charismatic wanderer.,,,
VeggieTales in the House,"Animation, Short, Adventure, Comedy, Family, Music","Phil Vischer, Tress MacNeille, Rob Paulsen, Mike Nawrocki",TV-Y,26 Nov 2014,"The exciting new adventures of Bob the Tomato, Larry the Cucumber, and all their Veggie friends as youve never seen them before: in the house!",4.5,255,
Hook,"Adventure, Comedy, Family, Fantasy","Dustin Hoffman, Bob Hoskins, Robin Williams, Julia Roberts",PG,11 Dec 1991,"Peter Pan, the boy who wasnt supposed to grow up, did just that. But vengeful Capt. Hook kidnaps Peters kids, forcing him to return to Neverland.",6.8,235730,
Horseland,"Animation, Adventure, Family","David Kalis, Wendy K. Gray, Dana Donlan",TV-Y7,,"Welcome to Horseland, home of gorgeous steeds whose human friends have fun learning about good sportsmanship, friendship and responsibility.",5.9,307,
The Pursuit of Happyness,"Biography, Drama","Will Smith, Jaden Smith, Brian Howe, Thandie Newton",PG-13,15 Dec 2006,"When Chris and his son are evicted, they face trying times as a desperate Chris accepts an unpaid internship at a stock brokerage firm.",8,449803,
The Skin I Live In,"Drama, Horror, Thriller","Elena Anaya, Jan Cornet, Antonio Banderas, Marisa Paredes",R,02 Sep 2011,A plastic surgeon seeks to overcome the grief of his late wifes disfigurement in a fiery car crash by inventing skin thats impervious to injury.,7.6,139731,
Harlock: Space Pirate,"Animation, Adventure, Sci-Fi","Yû Aoi, Ayano Fukuda, Arata Furuta, Jessica Boone",Not Rated,01 Aug 2014,"Determined to keep the malevolent Gaia Coalition from ruling the universe, a mysterious loner cruises the skies and boldly attacks enemy spaceships.",6.4,11595,
Lilyhammer,"Comedy, Crime, Drama","Marian Saastad Ottesen, Trond Fausa, Steinar Sagen, Steven Van Zandt",TV-MA,15 Sep 2014,"After testifying against the Mafia, ex-gangster Frank Tagliano enters witness protection and asks to be sent to Norway.",8,26670,
Superhero Movie,"Action, Comedy, Sci-Fi","Leslie Nielsen, Drake Bell, Christopher McDonald, Sara Paxton",PG-13,28 Mar 2008,"The team behind Scary Movie takes on the comic book genre in this tale of Rick Riker, a nerdy teen imbued with superpowers by a radioactive dragonfly.",4.5,63807,
Made of Honour,"Comedy, Romance","Kadeem Hardison, Michelle Monaghan, Patrick Dempsey, Kevin McKidd",PG-13,02 May 2008,"Suddenly realizing he loves his platonic best friend, a perennial skirt-chaser uses his role as her maid of honor to unravel her marriage plans.",5.9,68000,
L!fe Happens,Comedy,"Rachel Bilson, Kate Bosworth, Krysten Ritter, Geoff Stults",R,13 Apr 2012,Two friends living in the trendy Silverlake neighborhood of Los Angeles try to maintain their lifestlye despite one of them having a new baby.,5.6,7676,
Hancock,"Action, Drama, Fantasy","Jason Bateman, Will Smith, Charlize Theron, Jae Head",PG-13,02 Jul 2008,"Will Smith stars as Hancock, a down-and-out superhero whos forced to employ a public relations expert to help repair his image.",6.4,445439,
Hanna,"Action, Adventure, Drama, Thriller","Saoirse Ronan, Cate Blanchett, Vicky Krieps, Eric Bana",PG-13,08 Apr 2011,"Raised in isolation and trained as an assassin, teen Hanna longs for a normal life, but when she comes out of hiding she becomes targeted by the CIA.",6.8,190386,
Monster House,"Animation, Comedy, Family, Fantasy, Mystery","Catherine O'Hara, Mitchel Musso, Steve Buscemi, Ryan Whitney",PG,21 Jul 2006,Three friends uncover the truth about a scary abandoned house in their neighborhood that has a personality of its own and seems to be eating people.,6.6,101873,
The Legend of Hercules,"Action, Adventure, Fantasy","Roxanne McKee, Kellan Lutz, Gaia Weiss, Scott Adkins",PG-13,10 Jan 2014,"Springing from classical legend, the hero Hercules is born half-human and half-god and chosen by destiny to overthrow the cruel king of Greece.",4.2,52655,
Safe Haven,"Drama, Romance, Thriller","Jon Kohler, Irene Ziegler, Julianne Hough, Tim Parati",PG-13,14 Feb 2013,"When a mysterious woman arrives in a small North Carolina town, she begins a new life but remains haunted by a terrifying secret.",6.7,104554,
LEGO: Marvel Super Heroes: Maximum Overload,"Animation, Short, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi","Steve Blum, Barry Dennen, Greg Cipes, Tony Matthews",,05 Nov 2013,Villainous Loki is amassing an army to conquer Earth! His antics are keeping Spider-Man and S.H.I.E.L.D. busy as they tackle a host of bad guys.,6.5,1145,
The Hangover,Comedy,"Justin Bartha, Bradley Cooper, Zach Galifianakis, Ed Helms",R,05 Jun 2009,"When three friends finally wake up after a wild bachelor party, they cant locate their best friend, whos supposed to be tying the knot.",7.7,718251,
Trailer Park Boys: Say Goodnight to the Bad Guys,Comedy,"Robb Wells, John Dunsworth, Patrick Roach, John Paul Tremblay",,07 Dec 2008,"A year after the Season 7 finale, the boys are poised to live the good life. But an old enemy throws a wrench in things once again.",7.9,3248,
Mike Birbiglia: My Girlfriends Boyfriend,"Documentary, Comedy, Romance",Mike Birbiglia,Not Rated,04 Sep 2013,"On this painfully honest but hilarious journey, Birbiglia struggles to find reason in an area where it may be impossible to find: love.",8,2983,
Zach Galifianakis: Live at the Purple Onion,"Documentary, Comedy","Zach Galifianakis, Brian Unger, Joe Wagner",Unrated,,"The unorthodox, piano-playing stand-up star Zach Galifianakis makes a splash on the scene and serves up a healthy dose of his signature wit.",7.3,3610,
The Short Game,"Documentary, Sport","Allan Kournikova, Zamokuhle Nxasana, Jed Dy, Amari Avery",PG,20 Sep 2013,"They are fiercely competitive athletes, determined to become champions on one of the worlds toughest golf courses. And theyre still in grade school.",7.4,1372,
Secret Garden,"Comedy, Drama, Fantasy, Romance","Sa-rang Kim, Hyun Bin, Yoon Sang-Hyun, Ha Ji-Won",,,A wealthy man and a poor stunt girl fall in love. But things get complicated when their souls become inexplicably swapped and dark secrets surface.,8.2,5540,
Good Hair,"Documentary, Comedy","Tanya Crumel, Maya Angelou, Kevin Kirk, Jason Griggers",PG-13,23 Oct 2009,Chris Rock hops around the world going from beauty salons to science labs to comb through the mystery of African American hair.,6.9,5586,
The Goonies,"Adventure, Comedy, Family","Sean Astin, Josh Brolin, Corey Feldman, Jeff Cohen",PG,07 Jun 1985,A group of misfit children discovers a pirate-treasure map and embarks on a journey to find the riches in this beloved 1980s classic.,7.8,245566,
Youve Got Mail,"Comedy, Drama, Romance","Parker Posey, Greg Kinnear, Meg Ryan, Tom Hanks",PG,18 Dec 1998,Superstore magnate Joe and independent shop owner Kathleen fall in love via the Internet -- both unaware that hes trying to put her out of business.,6.7,195826,
The Green Hornet,"Action, Comedy, Crime","Tom Wilkinson, Cameron Diaz, Seth Rogen, Jay Chou",PG-13,14 Jan 2011,"A hard-partying heir dons a disguise to fight crime after hours. But with no talents or skills, he relies on his friend, a martial-arts genius.",5.8,155265,
Gurren Lagann,"Animation, Action, Adventure, Comedy, Drama, Sci-Fi","Steve Blum, Johnny Yong Bosch, Yuri Lowenthal, Kana Asumi",TV-14,,"When a young laborer escapes to the world aboveground, he discovers a violent land in which humans battle robots controlled by a power-hungry noble.",8.3,14725,
Gridiron Gang,"Biography, Crime, Drama, Sport","L. Scott Caldwell, Dwayne Johnson, Leon Rippy, Xzibit",PG-13,15 Sep 2006,"In this moving drama, a probation officer at a detention camp for juvenile delinquents hopes to mold teenage inmates into a successful football team.",6.9,57244,
Gin Tama,"Animation, Action, Comedy, Sci-Fi","Tomokazu Sugita, Daisuke Sakaguchi, Kazuya Nakai, Rie Kugimiya",TV-14,04 Apr 2006,"After Japans Shogunate is occupied by an alien army, a samurai forced to work as a handyman forms a squad of swordsmen to fight back.",8.6,6984,
