title,genre,actors,view rating,release date,summary,score,votes,
Stray,"Action, Crime, Fantasy, Thriller","Karen Fukuhara, Christine Woods, Ross Partridge, Miyavi",Not Rated,01 Apr 2019,"To fill the void left by the disappearance of their son, a couple adopts a feral child from an orphanage – but their choice has dark consequences.",4.8,688,
Stand by Me,"Adventure, Drama","Jerry O'Connell, Wil Wheaton, River Phoenix, Corey Feldman",R,22 Aug 1986,"Learning of his imminent departure from life, a grandfather spends his final days preparing parting gifts for his young grandchildren.",8.1,364302,
Tea Pets,"Animation, Adventure","Guanlin Ji, Jason Kesser",,14 Jan 2020,"A group of cute, good-luck-charm clay figurines break the mold and set off on a wild, wonderful adventure after an encounter with a mysterious entity.",5.6,199,
A Tiger In Winter,"Drama, Romance","Seung-gil Jeong, Hyun-Jung Go, Ye-eun Kim, Jin-wook Lee",,12 Apr 2018,"On the cusp of hitting rock bottom, a failed writer comes across a former lover, a novelist whos in the midst of battling woes of her own.",6.3,69,
The Three Little Pigs,Animation,"Ric Herbert, Joanna Moore, Lee Perry",Not Rated,,The three little pigs embark on a new adventure as they use their kung fu skills to defeat an evil wolf and help guard a martial arts treasure.,5.8,34,
Wonderstruck,"Adventure, Drama, Mystery","James Urbaniak, Julianne Moore, Millicent Simmonds, Cory Michael Smith",PG,20 Oct 2017,Two children from different eras each embark on a journey of self-discovery that leads to New York City and a mysterious bond that connects them both.,6.2,9533,
Keys To The Heart,"Comedy, Drama, Family","Sung-ryung Kim, Jung-min Park, Lee Byung-Hun, Han Ji-min",,26 Jan 2018,"With nothing in common but their mother, a former boxing champion and a musical savant discover brotherhood during a humorous cohabitation.",7.5,825,
Intimate Strangers,"Drama, Romance, Thriller","Fabrice Luchini, Sandrine Bonnaire, Anne Brochet, Michel Duchaussoy",R,03 Sep 2004,"At a dinner party, longtime friends and their partners play a game of sharing every new call, text and email on their phones with the entire group.",7,4813,
Homme Fatale,"Comedy, History, Romance","Jisu Choi, Jun-Ho Lee, Jung So-Min, Gwi-hwa Choi",,10 Jul 2019,"In an effort to save his aunts flailing business, a charming bachelor transforms into the first-ever male courtesan to entertain the ladies of Joseon.",6.9,86,
Happy Bus Day,"Comedy, Drama",Ju-won Lee,,21 Apr 2017,"At a gathering to celebrate the birthday of the oldest son, each family members dark secrets and uncomfortable truths are revealed.",6.8,27,
Gonjiam: Haunted Asylum,Horror,"Wi Ha-Joon, Seung-Wook Lee, Ye-Won Mun, Yoo Je-Yoon",Not Rated,28 Mar 2018,"Eager to capture creepy footage for their web series, a group of explorers venture into an abandoned and infamous psychiatric hospital.",6.3,5195,
Golden Slumber,"Action, Drama, Thriller","Yûko Takeuchi, Shihori Kanjiya, Nao Ohmori, Teruyuki Kagawa",,30 Jan 2010,"Wrongly framed for a presidential assassination, an upstanding delivery man is forced to get to the bottom of the conspiracy while on the run.",7.1,1098,
Extreme Job,"Action, Comedy, Crime","Lee Hanee, Shin Ha-kyun, Joon-seok Heo, Myoung Gong",Not Rated,21 Jun 2019,A narcotics unit takes over a restaurant near a gangs hideout when the food they sold to keep their cover turns into the next big chicken franchise.,7.1,6757,
